Algorithm,DataType,DataSize,Sortedness,Time(ns)
BubbleSortUntilNoChange,Integer,100,Random,411458
BubbleSortUntilNoChange,Integer,100,Random,293792
BubbleSortUntilNoChange,Integer,100,Random,283125
BubbleSortUntilNoChange,Integer,100,Random,284292
BubbleSortUntilNoChange,Integer,100,Random,275417
BubbleSortUntilNoChange,Integer,100,Random,275417
BubbleSortUntilNoChange,Integer,100,Random,298666
BubbleSortUntilNoChange,Integer,100,Random,95250
BubbleSortUntilNoChange,Integer,100,Random,72084
BubbleSortUntilNoChange,Integer,100,Random,66167
BubbleSortUntilNoChange,Integer,100,Random,66000
BubbleSortUntilNoChange,Integer,100,Random,70125
BubbleSortUntilNoChange,Integer,100,Random,65792
BubbleSortUntilNoChange,Integer,100,Random,65375
BubbleSortUntilNoChange,Integer,100,Random,65459
BubbleSortUntilNoChange,Integer,100,Random,65375
BubbleSortUntilNoChange,Integer,100,Random,65541
BubbleSortUntilNoChange,Integer,100,Random,65083
BubbleSortUntilNoChange,Integer,100,Random,65208
BubbleSortUntilNoChange,Integer,100,Random,65375
BubbleSortUntilNoChange,Integer,100,Random,65708
BubbleSortUntilNoChange,Integer,100,Random,65292
BubbleSortUntilNoChange,Integer,100,Random,65250
BubbleSortUntilNoChange,Integer,100,Random,65167
BubbleSortUntilNoChange,Integer,100,Random,65125
BubbleSortUntilNoChange,Integer,100,Random,65250
BubbleSortUntilNoChange,Integer,100,Random,65292
BubbleSortUntilNoChange,Integer,100,Random,65500
BubbleSortUntilNoChange,Integer,100,Random,65083
BubbleSortUntilNoChange,Integer,100,Random,65250
BubbleSortUntilNoChange,Integer,100,Random,65166
BubbleSortUntilNoChange,Integer,100,Random,65500
BubbleSortUntilNoChange,Integer,100,Random,65250
BubbleSortUntilNoChange,Integer,100,Random,65250
BubbleSortUntilNoChange,Integer,100,Random,65250
BubbleSortUntilNoChange,Integer,100,Random,65542
BubbleSortUntilNoChange,Integer,100,Random,65292
BubbleSortUntilNoChange,Integer,100,Random,127125
BubbleSortUntilNoChange,Integer,100,Random,135125
BubbleSortUntilNoChange,Integer,100,Random,152042
BubbleSortUntilNoChange,Integer,100,Random,65250
BubbleSortUntilNoChange,Integer,100,Random,65334
BubbleSortUntilNoChange,Integer,100,Random,65208
BubbleSortUntilNoChange,Integer,100,Random,65208
BubbleSortUntilNoChange,Integer,100,Random,65417
BubbleSortUntilNoChange,Integer,100,Random,65125
BubbleSortUntilNoChange,Integer,100,Random,65166
BubbleSortUntilNoChange,Integer,100,Random,65250
BubbleSortUntilNoChange,Integer,100,Random,65250
BubbleSortUntilNoChange,Integer,100,Random,63625
BubbleSortUntilNoChange,Integer,100,Random,62958
BubbleSortUntilNoChange,Integer,100,Random,63000
BubbleSortUntilNoChange,Integer,100,Random,63125
BubbleSortUntilNoChange,Integer,100,Random,62834
BubbleSortUntilNoChange,Integer,100,Random,63042
BubbleSortUntilNoChange,Integer,100,Random,62916
BubbleSortUntilNoChange,Integer,100,Random,65334
BubbleSortUntilNoChange,Integer,100,Random,65250
BubbleSortUntilNoChange,Integer,100,Random,67625
BubbleSortUntilNoChange,Integer,100,Random,303958
BubbleSortUntilNoChange,Integer,100,Random,300708
BubbleSortUntilNoChange,Integer,100,Random,297334
BubbleSortUntilNoChange,Integer,100,Random,300834
BubbleSortUntilNoChange,Integer,100,Random,297125
BubbleSortUntilNoChange,Integer,100,Random,297084
BubbleSortUntilNoChange,Integer,100,Random,297125
BubbleSortUntilNoChange,Integer,100,Random,307333
BubbleSortUntilNoChange,Integer,100,Random,296084
BubbleSortUntilNoChange,Integer,100,Random,289042
BubbleSortUntilNoChange,Integer,100,Random,286292
BubbleSortUntilNoChange,Integer,100,Random,286458
BubbleSortUntilNoChange,Integer,100,Random,293458
BubbleSortUntilNoChange,Integer,100,Random,296792
BubbleSortUntilNoChange,Integer,100,Random,286625
BubbleSortUntilNoChange,Integer,100,Random,290500
BubbleSortUntilNoChange,Integer,100,Random,23375
BubbleSortUntilNoChange,Integer,100,Random,20000
BubbleSortUntilNoChange,Integer,100,Random,17417
BubbleSortUntilNoChange,Integer,100,Random,16417
BubbleSortUntilNoChange,Integer,100,Random,16083
BubbleSortUntilNoChange,Integer,100,Random,15875
BubbleSortUntilNoChange,Integer,100,Random,15792
BubbleSortUntilNoChange,Integer,100,Random,15792
BubbleSortUntilNoChange,Integer,100,Random,15750
BubbleSortUntilNoChange,Integer,100,Random,15750
BubbleSortUntilNoChange,Integer,100,Random,15959
BubbleSortUntilNoChange,Integer,100,Random,16042
BubbleSortUntilNoChange,Integer,100,Random,15750
BubbleSortUntilNoChange,Integer,100,Random,15708
BubbleSortUntilNoChange,Integer,100,Random,15750
BubbleSortUntilNoChange,Integer,100,Random,15666
BubbleSortUntilNoChange,Integer,100,Random,15792
BubbleSortUntilNoChange,Integer,100,Random,15708
BubbleSortUntilNoChange,Integer,100,Random,15833
BubbleSortUntilNoChange,Integer,100,Random,15750
BubbleSortUntilNoChange,Integer,100,Random,15750
BubbleSortUntilNoChange,Integer,100,Random,15708
BubbleSortUntilNoChange,Integer,100,Random,15708
BubbleSortUntilNoChange,Integer,100,Random,15709
BubbleSortUntilNoChange,Integer,100,Random,15708
BubbleSortUntilNoChange,Integer,100,Reversed,23166
BubbleSortUntilNoChange,Integer,100,Reversed,22792
BubbleSortUntilNoChange,Integer,100,Reversed,24083
BubbleSortUntilNoChange,Integer,100,Reversed,22667
BubbleSortUntilNoChange,Integer,100,Reversed,22625
BubbleSortUntilNoChange,Integer,100,Reversed,22625
BubbleSortUntilNoChange,Integer,100,Reversed,22541
BubbleSortUntilNoChange,Integer,100,Reversed,22625
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22584
BubbleSortUntilNoChange,Integer,100,Reversed,22625
BubbleSortUntilNoChange,Integer,100,Reversed,22584
BubbleSortUntilNoChange,Integer,100,Reversed,22541
BubbleSortUntilNoChange,Integer,100,Reversed,22584
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22541
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22625
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22541
BubbleSortUntilNoChange,Integer,100,Reversed,22625
BubbleSortUntilNoChange,Integer,100,Reversed,22541
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22625
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22584
BubbleSortUntilNoChange,Integer,100,Reversed,22541
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22584
BubbleSortUntilNoChange,Integer,100,Reversed,22584
BubbleSortUntilNoChange,Integer,100,Reversed,22584
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22625
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22541
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22541
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,22667
BubbleSortUntilNoChange,Integer,100,Reversed,22459
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22541
BubbleSortUntilNoChange,Integer,100,Reversed,22584
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,28916
BubbleSortUntilNoChange,Integer,100,Reversed,23084
BubbleSortUntilNoChange,Integer,100,Reversed,22792
BubbleSortUntilNoChange,Integer,100,Reversed,22666
BubbleSortUntilNoChange,Integer,100,Reversed,22666
BubbleSortUntilNoChange,Integer,100,Reversed,22625
BubbleSortUntilNoChange,Integer,100,Reversed,22584
BubbleSortUntilNoChange,Integer,100,Reversed,22584
BubbleSortUntilNoChange,Integer,100,Reversed,22625
BubbleSortUntilNoChange,Integer,100,Reversed,22541
BubbleSortUntilNoChange,Integer,100,Reversed,22541
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,22584
BubbleSortUntilNoChange,Integer,100,Reversed,22625
BubbleSortUntilNoChange,Integer,100,Reversed,21750
BubbleSortUntilNoChange,Integer,100,Reversed,22834
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22583
BubbleSortUntilNoChange,Integer,100,Reversed,23084
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,Reversed,22458
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,22625
BubbleSortUntilNoChange,Integer,100,Reversed,22458
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,22459
BubbleSortUntilNoChange,Integer,100,Reversed,22500
BubbleSortUntilNoChange,Integer,100,Reversed,22542
BubbleSortUntilNoChange,Integer,100,FirstKSorted,19083
BubbleSortUntilNoChange,Integer,100,FirstKSorted,17000
BubbleSortUntilNoChange,Integer,100,FirstKSorted,15458
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14083
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13958
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13791
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13792
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13792
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13750
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13833
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13750
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13708
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13834
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13792
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13750
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13750
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13792
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13792
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13792
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13875
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13875
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13792
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13750
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13834
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13792
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13792
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13750
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14333
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14292
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14250
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14292
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14541
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14292
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14291
BubbleSortUntilNoChange,Integer,100,FirstKSorted,19250
BubbleSortUntilNoChange,Integer,100,FirstKSorted,16625
BubbleSortUntilNoChange,Integer,100,FirstKSorted,15083
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14750
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14667
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14584
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14584
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14666
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14542
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14625
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14583
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14500
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14209
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13917
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13708
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13583
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13666
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13667
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13625
BubbleSortUntilNoChange,Integer,100,FirstKSorted,13584
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14333
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14125
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14125
BubbleSortUntilNoChange,Integer,100,FirstKSorted,19292
BubbleSortUntilNoChange,Integer,100,FirstKSorted,16583
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14750
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14208
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14084
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14083
BubbleSortUntilNoChange,Integer,100,FirstKSorted,14042
