Algorithm,DataType,DataSize,Sortedness,Time(ns)
BubbleSortUntilNoChange,Integer,100,Random,419416
BubbleSortUntilNoChange,Integer,100,Random,286042
BubbleSortUntilNoChange,Integer,100,Random,283750
BubbleSortUntilNoChange,Integer,100,Random,283083
BubbleSortUntilNoChange,Integer,100,Random,285083
BubbleSortUntilNoChange,Integer,100,Random,283167
BubbleSortUntilNoChange,Integer,100,Random,285958
BubbleSortUntilNoChange,Integer,100,Random,194167
BubbleSortUntilNoChange,Integer,100,Random,86000
BubbleSortUntilNoChange,Integer,100,Random,66250
BubbleSortUntilNoChange,Integer,100,Reversed,82208
BubbleSortUntilNoChange,Integer,100,Reversed,84250
BubbleSortUntilNoChange,Integer,100,Reversed,75959
BubbleSortUntilNoChange,Integer,100,Reversed,76708
BubbleSortUntilNoChange,Integer,100,Reversed,76208
BubbleSortUntilNoChange,Integer,100,Reversed,75542
BubbleSortUntilNoChange,Integer,100,Reversed,75625
BubbleSortUntilNoChange,Integer,100,Reversed,75708
BubbleSortUntilNoChange,Integer,100,Reversed,75542
BubbleSortUntilNoChange,Integer,100,Reversed,75709
BubbleSortUntilNoChange,Integer,100,FirstKSorted,58709
BubbleSortUntilNoChange,Integer,100,FirstKSorted,52708
BubbleSortUntilNoChange,Integer,100,FirstKSorted,51917
BubbleSortUntilNoChange,Integer,100,FirstKSorted,51166
BubbleSortUntilNoChange,Integer,100,FirstKSorted,51291
BubbleSortUntilNoChange,Integer,100,FirstKSorted,51167
BubbleSortUntilNoChange,Integer,100,FirstKSorted,50792
BubbleSortUntilNoChange,Integer,100,FirstKSorted,51167
BubbleSortUntilNoChange,Integer,100,FirstKSorted,51334
BubbleSortUntilNoChange,Integer,100,FirstKSorted,50958
BubbleSortUntilNoChange,Integer,100,LastKSorted,29584
BubbleSortUntilNoChange,Integer,100,LastKSorted,28959
BubbleSortUntilNoChange,Integer,100,LastKSorted,27833
BubbleSortUntilNoChange,Integer,100,LastKSorted,28042
BubbleSortUntilNoChange,Integer,100,LastKSorted,27583
BubbleSortUntilNoChange,Integer,100,LastKSorted,27791
BubbleSortUntilNoChange,Integer,100,LastKSorted,27584
BubbleSortUntilNoChange,Integer,100,LastKSorted,30500
BubbleSortUntilNoChange,Integer,100,LastKSorted,29125
BubbleSortUntilNoChange,Integer,100,LastKSorted,122209
BubbleSortUntilNoChange,Integer,1000,Random,9068917
BubbleSortUntilNoChange,Integer,1000,Random,1913667
BubbleSortUntilNoChange,Integer,1000,Random,1877000
BubbleSortUntilNoChange,Integer,1000,Random,1878833
BubbleSortUntilNoChange,Integer,1000,Random,1884292
BubbleSortUntilNoChange,Integer,1000,Random,1874375
BubbleSortUntilNoChange,Integer,1000,Random,1681916
BubbleSortUntilNoChange,Integer,1000,Random,1534250
BubbleSortUntilNoChange,Integer,1000,Random,1591000
BubbleSortUntilNoChange,Integer,1000,Random,1646917
BubbleSortUntilNoChange,Integer,1000,Reversed,1941542
BubbleSortUntilNoChange,Integer,1000,Reversed,1954625
BubbleSortUntilNoChange,Integer,1000,Reversed,1938292
BubbleSortUntilNoChange,Integer,1000,Reversed,1940958
BubbleSortUntilNoChange,Integer,1000,Reversed,1937416
BubbleSortUntilNoChange,Integer,1000,Reversed,2117500
BubbleSortUntilNoChange,Integer,1000,Reversed,1908375
BubbleSortUntilNoChange,Integer,1000,Reversed,1861459
BubbleSortUntilNoChange,Integer,1000,Reversed,1858584
BubbleSortUntilNoChange,Integer,1000,Reversed,1897625
BubbleSortUntilNoChange,Integer,1000,FirstKSorted,1434500
BubbleSortUntilNoChange,Integer,1000,FirstKSorted,1398708
BubbleSortUntilNoChange,Integer,1000,FirstKSorted,1422958
BubbleSortUntilNoChange,Integer,1000,FirstKSorted,1447875
BubbleSortUntilNoChange,Integer,1000,FirstKSorted,1490292
BubbleSortUntilNoChange,Integer,1000,FirstKSorted,1655167
BubbleSortUntilNoChange,Integer,1000,FirstKSorted,1335875
BubbleSortUntilNoChange,Integer,1000,FirstKSorted,1372375
BubbleSortUntilNoChange,Integer,1000,FirstKSorted,1318042
BubbleSortUntilNoChange,Integer,1000,FirstKSorted,1314625
BubbleSortUntilNoChange,Integer,1000,LastKSorted,854375
BubbleSortUntilNoChange,Integer,1000,LastKSorted,829625
BubbleSortUntilNoChange,Integer,1000,LastKSorted,812708
BubbleSortUntilNoChange,Integer,1000,LastKSorted,808125
BubbleSortUntilNoChange,Integer,1000,LastKSorted,806958
BubbleSortUntilNoChange,Integer,1000,LastKSorted,828167
BubbleSortUntilNoChange,Integer,1000,LastKSorted,827667
BubbleSortUntilNoChange,Integer,1000,LastKSorted,847000
BubbleSortUntilNoChange,Integer,1000,LastKSorted,841209
BubbleSortUntilNoChange,Integer,1000,LastKSorted,880625
BubbleSortUntilNoChange,Integer,10000,Random,164468166
BubbleSortUntilNoChange,Integer,10000,Random,163226791
BubbleSortUntilNoChange,Integer,10000,Random,165792333
BubbleSortUntilNoChange,Integer,10000,Random,162496584
BubbleSortUntilNoChange,Integer,10000,Random,161238458
BubbleSortUntilNoChange,Integer,10000,Random,161369833
BubbleSortUntilNoChange,Integer,10000,Random,161980875
