Algorithm,DataSize,Time(ns)
BubbleSortUntilNoChange,100,47652.61192463158
BubbleSortUntilNoChange,1000,981963.1220759692
BubbleSortUntilNoChange,10000,108549310.36415094
BubbleSortWhileNeeded,100,42180.37481656834
BubbleSortWhileNeeded,1000,794243.1905904915
BubbleSortWhileNeeded,10000,91703020.79624477
QuickSortGPT,100,54327.330199051
QuickSortGPT,1000,775660.510675578
QuickSortGPT,10000,81908058.33046514
SelectionSortGPT,100,23156.136552948214
SelectionSortGPT,1000,562868.7439700034
SelectionSortGPT,10000,53211618.5745647
