Algorithm,SortOrder,DataType,min,FirstQuartile,Median,ThirdQuartile,max
BubbleSortUntilNoChange,FirstKSorted,Double,34791.0,34875.0,3312062.0,343318844.0,351527666.0
BubbleSortUntilNoChange,FirstKSorted,Float,30750.0,31072.75,3155375.0,350424322.75,392856209.0
BubbleSortUntilNoChange,FirstKSorted,Integer,13583.0,14729.25,1343187.5,148487458.0,151545833.0
BubbleSortUntilNoChange,FirstKSorted,Long,20541.0,20989.75,2004687.5,234806093.75,335577375.0
BubbleSortUntilNoChange,LastKSorted,Double,11666.0,11750.0,1480958.0,160909833.25,165408292.0
BubbleSortUntilNoChange,LastKSorted,Float,12708.0,12958.0,1457250.0,167002396.0,176130916.0
BubbleSortUntilNoChange,LastKSorted,Integer,7333.0,7875.0,867541.5,91748813.0,97350042.0
BubbleSortUntilNoChange,LastKSorted,Long,10458.0,11062.25,1136354.5,122797698.0,125335375.0
BubbleSortUntilNoChange,Random,Double,32916.0,33042.0,3682646.0,424603208.0,474684667.0
BubbleSortUntilNoChange,Random,Float,30791.0,87791.75,3400917.0,422298510.25,439274584.0
BubbleSortUntilNoChange,Random,Integer,15666.0,133125.0,1492396.0,160357624.75,173614375.0
BubbleSortUntilNoChange,Random,Long,20583.0,66531.5,2178979.0,276661135.75,310634458.0
BubbleSortUntilNoChange,Reversed,Double,37000.0,37614.75,3387854.5,369365749.5,377215667.0
BubbleSortUntilNoChange,Reversed,Float,35334.0,38375.0,3646688.0,368913708.25,375371000.0
BubbleSortUntilNoChange,Reversed,Integer,21750.0,22584.0,1950646.0,205561052.25,215514250.0
BubbleSortUntilNoChange,Reversed,Long,23916.0,25333.0,2318750.0,257731780.75,262898583.0
BubbleSortWhileNeeded,FirstKSorted,Double,26542.0,27770.5,2494000.0,269238020.75,273290750.0
BubbleSortWhileNeeded,FirstKSorted,Float,19291.0,19417.0,1994313.0,220615062.5,226031458.0
BubbleSortWhileNeeded,FirstKSorted,Integer,8208.0,8322.75,857646.0,94190728.75,109389625.0
BubbleSortWhileNeeded,FirstKSorted,Long,13375.0,14062.25,1201000.5,164325427.25,182960625.0
BubbleSortWhileNeeded,LastKSorted,Double,7750.0,8084.0,690875.0,79905770.75,82992583.0
BubbleSortWhileNeeded,LastKSorted,Float,5333.0,5417.0,573625.0,64216843.75,69149458.0
BubbleSortWhileNeeded,LastKSorted,Integer,5500.0,5625.0,590083.5,66779885.5,129658834.0
BubbleSortWhileNeeded,LastKSorted,Long,8334.0,8708.75,739145.5,81190062.25,111125875.0
BubbleSortWhileNeeded,Random,Double,28375.0,28583.0,3001229.5,359720093.5,366413042.0
BubbleSortWhileNeeded,Random,Float,46625.0,50239.5,2202333.0,300086094.0,384812458.0
BubbleSortWhileNeeded,Random,Integer,45042.0,47468.75,1002146.0,107917281.5,122899292.0
BubbleSortWhileNeeded,Random,Long,14458.0,59781.0,1402188.0,194750969.0,226067959.0
BubbleSortWhileNeeded,Reversed,Double,27083.0,27250.0,2690937.5,280814093.5,285547250.0
BubbleSortWhileNeeded,Reversed,Float,21625.0,24500.0,2434833.5,241278593.75,277258500.0
BubbleSortWhileNeeded,Reversed,Integer,13958.0,54562.0,1216875.0,153523864.75,639605292.0
BubbleSortWhileNeeded,Reversed,Long,17833.0,18042.0,1503917.0,167367146.25,171405667.0
QuickSortGPT,FirstKSorted,Double,3791.0,3834.0,147187.5,1903906.0,2212208.0
QuickSortGPT,FirstKSorted,Float,2792.0,3042.0,139333.0,12834749.75,13212750.0
QuickSortGPT,FirstKSorted,Integer,32333.0,48875.0,102208.5,9286667.25,9579167.0
QuickSortGPT,FirstKSorted,Long,3083.0,3167.0,151167.0,13716134.75,14160542.0
QuickSortGPT,LastKSorted,Double,21166.0,22000.0,1955250.5,207200749.75,211028916.0
QuickSortGPT,LastKSorted,Float,17042.0,17209.0,1840125.0,181340145.5,185499167.0
QuickSortGPT,LastKSorted,Integer,7500.0,93739.5,561541.5,68887509.75,71272667.0
QuickSortGPT,LastKSorted,Long,10250.0,10292.0,739646.0,88561885.0,90974583.0
QuickSortGPT,Random,Double,3583.0,3875.0,81479.5,1250177.25,1462875.0
QuickSortGPT,Random,Float,23792.0,24280.75,69708.0,1170760.25,1494041.0
QuickSortGPT,Random,Integer,6875.0,7655.75,37562.5,740969.0,839833.0
QuickSortGPT,Random,Long,23291.0,24041.75,53792.0,887865.0,1327291.0
QuickSortGPT,Reversed,Double,23375.0,23500.0,2221333.5,229394791.5,234112417.0
QuickSortGPT,Reversed,Float,18250.0,136677.75,1893042.0,188588510.75,195573416.0
QuickSortGPT,Reversed,Integer,41584.0,195208.0,765833.5,91154051.75,93264417.0
QuickSortGPT,Reversed,Long,14459.0,141229.0,1109583.0,125214010.25,127176375.0
SelectionSortGPT,FirstKSorted,Double,21875.0,22583.0,1841437.5,184498437.5,188602875.0
SelectionSortGPT,FirstKSorted,Float,17291.0,29989.5,1423271.0,136545218.75,138658833.0
SelectionSortGPT,FirstKSorted,Integer,27541.0,28334.0,580250.0,54831750.0,56596041.0
SelectionSortGPT,FirstKSorted,Long,7833.0,7989.75,688000.5,65361333.5,66988292.0
SelectionSortGPT,LastKSorted,Double,20208.0,21030.75,1805854.5,182897791.0,188457666.0
SelectionSortGPT,LastKSorted,Float,15583.0,15875.0,1388062.5,136043916.75,138951667.0
SelectionSortGPT,LastKSorted,Integer,26667.0,28198.5,582562.0,55050457.75,82011875.0
SelectionSortGPT,LastKSorted,Long,7666.0,8250.0,688687.5,65729291.25,68346333.0
SelectionSortGPT,Random,Double,21791.0,21917.0,1861292.0,187903781.25,195235792.0
SelectionSortGPT,Random,Float,28375.0,28697.75,1420229.0,136688541.75,140796417.0
SelectionSortGPT,Random,Integer,26583.0,27239.75,582875.0,55168385.75,58463000.0
SelectionSortGPT,Random,Long,30166.0,109656.5,690541.5,65995281.25,68053875.0
SelectionSortGPT,Reversed,Double,19708.0,19792.0,1827187.5,184536437.75,195752416.0
SelectionSortGPT,Reversed,Float,26375.0,43083.0,1391958.5,137661250.25,142159416.0
SelectionSortGPT,Reversed,Integer,24459.0,25375.0,540395.5,53358979.25,55007000.0
SelectionSortGPT,Reversed,Long,8500.0,30989.75,735229.0,72350291.0,74371750.0
