Algorithm,DataType,DataSize,Sortedness,Time(ns)
BubbleSortUntilNoChange,Integer,100,Random,259995
BubbleSortUntilNoChange,Integer,100,Reversed,75054
BubbleSortUntilNoChange,Integer,100,FirstKSorted,60254
BubbleSortUntilNoChange,Integer,100,LastKSorted,36858
BubbleSortUntilNoChange,Integer,1000,Random,2546800
BubbleSortUntilNoChange,Integer,1000,Reversed,1921408
BubbleSortUntilNoChange,Integer,1000,FirstKSorted,1552479
BubbleSortUntilNoChange,Integer,1000,LastKSorted,869350
BubbleSortUntilNoChange,Integer,10000,Random,169627062
BubbleSortUntilNoChange,Integer,10000,Reversed,187211416
BubbleSortUntilNoChange,Integer,10000,FirstKSorted,161437674
BubbleSortUntilNoChange,Integer,10000,LastKSorted,84723141
BubbleSortUntilNoChange,Long,100,Random,341841
BubbleSortUntilNoChange,Long,100,Reversed,67995
BubbleSortUntilNoChange,Long,100,FirstKSorted,51375
BubbleSortUntilNoChange,Long,100,LastKSorted,60320
BubbleSortUntilNoChange,Long,1000,Random,2302521
BubbleSortUntilNoChange,Long,1000,Reversed,2398962
BubbleSortUntilNoChange,Long,1000,FirstKSorted,2078929
BubbleSortUntilNoChange,Long,1000,LastKSorted,1067712
BubbleSortUntilNoChange,Long,10000,Random,281491279
BubbleSortUntilNoChange,Long,10000,Reversed,274692087
BubbleSortUntilNoChange,Long,10000,FirstKSorted,272463804
BubbleSortUntilNoChange,Long,10000,LastKSorted,122352741
BubbleSortUntilNoChange,Float,100,Random,148237
BubbleSortUntilNoChange,Float,100,Reversed,97691
BubbleSortUntilNoChange,Float,100,FirstKSorted,72087
BubbleSortUntilNoChange,Float,100,LastKSorted,31499
BubbleSortUntilNoChange,Float,1000,Random,3670341
BubbleSortUntilNoChange,Float,1000,Reversed,3851316
BubbleSortUntilNoChange,Float,1000,FirstKSorted,3200821
BubbleSortUntilNoChange,Float,1000,LastKSorted,1502700
BubbleSortUntilNoChange,Float,10000,Random,446878991
BubbleSortUntilNoChange,Float,10000,Reversed,356756320
BubbleSortUntilNoChange,Float,10000,FirstKSorted,331540858
BubbleSortUntilNoChange,Float,10000,LastKSorted,159054020
